KdBar,Barcode,Nmbar,KdKel,NmKel,HBeli,HPokok,HJual,markup,HTetap,Mst,StMin,StMax,StAwal,StMasuk,StKeluar,Konsi,Disc,Foto,HJUAL2,HJUAL3,MARKUP2,MARKUP3,QTY2,QTY3
'90169533,'90169533,CAFEMIO CAPUCINO,NULL,NULL,20800,20800,27000,29.80769,N,N,0,0,0,0,8,N,0,,0,0,0,0,0,0
'90169540,'90169540,CAFEMIO MACHIATO,NULL,NULL,20800,20800,27000,29.80769,N,N,0,0,0,0,8,N,0,,0,0,0,0,0,0
'90087769,'90087769,HAPPY DAY PINEAPPLE,NULL,NULL,36000,36000,50000,38.88889,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'9008700120258,'9008700120258,HAPPY DAY STRAWBERRY,NULL,NULL,36000,36000,50000,38.88889,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'90087066,'90087066,HAPPY DAY ORANGE,NULL,NULL,36000,36000,50000,38.88889,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'90087011,'90087011,HAPPY DAY APPLE,NULL,NULL,36000,36000,50000,38.88889,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8718291777380,'8718291777380,LAMPU PHILIPS 11W,NULL,NULL,0,0,30000,0,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'6957029422075,'6957029422075,LAMPU FANOS 7W,NULL,NULL,0,0,32000,0,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8997204340181,'8997204340181,MATOH BALADO 75G,SNK,SNACK,13500,13500,18000,33.33333,N,N,0,0,30,9,46,N,0,,0,0,0,0,0,0
'6928892573201,'6928892573201,OKACHI FLUG,NULL,NULL,18500,18500,30000,62.16216,N,N,0,0,0,0,1,N,0,,18500,0,0,0,0,0
'8999002319659,'8999002319659,"BATERAI EVEREADY 1,5 V",NULL,NULL,14000,14000,35000,150,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'8998009040290,'8998009040290,TEH KOTAK BLACKCURRANT,NULL,NULL,2600,2600,5000,66.66667,N,N,0,0,0,14,62,N,0,,0,0,0,0,0,0
'8991001111296,'8991001111296,SILVERQUEEN ALMOND MILK CHOCO,CKL,COKELAT,7500,7500,10000,40.84507,N,N,0,0,0,11,13,N,0,,0,0,0,0,0,0
'JH,'JH,JAS HUJAN LENGAN,NULL,NULL,69000,69000,90000,30.43478,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'PAYUNG LIP,'PAYUNG LIP,PAYUNG LIPAT,NULL,NULL,27000,27000,50000,85.18519,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8999909001213,'8999909001213,PHILIPMORRIS,NULL,NULL,12000,12000,15000,25,N,N,0,0,0,0,13,N,0,,0,0,0,0,0,0
'8999999706173,'8999999706173,PEPSODENT 120g,SBN,NULL,8000,8000,12000,0,N,N,0,0,0,6,8,N,0,,0,0,0,0,0,0
'7610700607046,'7610700607046,PERMEN RICOLA LEMON,NULL,NULL,7500,7500,12000,60,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'7610700607985,'7610700607985,PERMEN ROCOLA SWITZERLAND,NULL,NULL,7500,7500,12000,60,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8992761164485,'8992761164485,PULPY ANGGUR,NULL,NULL,3400,3400,7000,105.88235,N,N,0,0,0,0,8,N,0,,0,0,0,0,0,0
'8992775204054,'8992775204054,GARUDA ORIGINAL,NULL,NULL,4500,4500,6000,33.33333,N,N,0,0,0,0,19,N,0,,4500,4500,0,0,0,0
'8992858687408,'8992858687408,WOODS CHERRY 15G,P,PERMEN,0,0,7000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8992222050401,'8992222050401,GAT SBY WG,NULL,NULL,8500,8500,12000,41.17647,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8992222052979,'8992222052979,GAT SBY WG,NULL,NULL,8500,8500,12000,41.17647,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8992222020039,'8992222020039,MANDOM,NULL,NULL,18500,18500,25000,35.13514,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8999777009229,'8999777009229,NIVEA SOFT CARE,NULL,NULL,7000,7000,10000,42.85714,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8992775318201,'8992775318201,GERY BANTAL,NULL,NULL,1650,1650,2500,51.51515,N,N,0,0,0,5,33,N,0,,1650,1650,0,0,0,0
'8992775406366,'8992775406366,OKY JELY,NULL,NULL,1583,1583,2000,26.34239,N,N,0,0,0,96,54,N,0,,13500,0,752.81112,0,0,0
'MT,'MT,MOUNTEA,NULL,NULL,0,0,2000,0,N,N,0,0,0,0,19,N,0,,0,0,0,0,0,0
'PARFUM,'PARFUM,PARFUM,NULL,NULL,6000,6000,10000,66.66667,N,N,0,0,0,0,7,N,0,,6000,0,0,0,0,0
'8998866202343,'8998866202343,MIE SEDAP KOREAN SPICY,NULL,NULL,3875,3875,3500,-9.67742,Y,N,0,0,24,70,150,N,0,,0,0,0,0,0,0
'456,'456,JAS HUJAN PONCO,NULL,NULL,0,0,70000,0,N,N,0,0,0,0,10,N,0,,0,0,0,0,0,0
'8992775305140,'8992775305140,GERY SALUT KELAPA,NULL,NULL,0,0,3000,0,N,Y,0,0,0,-24,0,N,0,,0,0,0,0,0,0
'8993560151041,'8993560151041,STREPSIL SUGAR FREE,NULL,NULL,11500,11500,15000,30.43478,N,N,0,0,0,0,12,N,0,,0,0,0,0,0,0
'95506913,'95506913,STREPSILL ORANGE FLAVOUR,NULL,NULL,10000,10000,15000,50,N,N,0,0,0,0,7,N,0,,0,0,0,0,0,0
'8998866803649,'8998866803649,SO KLIN VIOLET BLOSSOM 750ML,NULL,NULL,15800,15800,20000,26.58228,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'8991918101014,'8991918101014,GEO MILD,NULL,NULL,23500,23500,27000,14.89362,N,N,0,0,0,166,293,N,0,,0,0,0,0,0,0
'8991038111757,'8991038111757,SELECTION FACIAL COTTON 75GR,NULL,NULL,0,0,15000,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8992931007109,'8992931007109,TISSUE TESSA SERBET 50 SHEET,NULL,NULL,0,0,20000,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8997218380128,'8997218380128,ICHITAN THAI MILK COFFEE 310ML,BTL,MINUMAN,7500,7500,9000,20,N,N,0,0,0,62,74,N,0,,0,0,0,0,0,0
'8998685186305,'8998685186305,FROZZ,NULL,NULL,6500,6500,10000,53.84615,N,N,0,0,0,0,5,N,0,,6500,0,0,0,0,0
'8992993250321,'8992993250321,TEPUNG ROTI PANCAKE,NULL,NULL,12000,12000,20000,66.66667,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8992775000076,'8992775000076,GERY CHOCO,NULL,NULL,0,0,2500,0,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'8992775000663,'8992775000663,GERY,NULL,NULL,0,0,2500,0,N,N,0,0,0,0,14,N,0,,0,0,0,0,0,0
'8999168211248,'8999168211248,ESSE CHANGE DOUBLE,NULL,NULL,39700,39700,43000,8.31234,N,N,0,0,0,24,64,N,0,,24901.45,0,-37.27595,0,0,0
'8992752122807,'8992752122807,LEVITA,NULL,NULL,0,0,5000,0,N,N,0,0,0,0,10,N,0,,0,0,0,0,0,0
'8997027810335,'8997027810335,SISIR,NULL,NULL,0,0,5000,0,N,N,0,0,0,0,9,N,0,,0,0,0,0,0,0
'8995077605253,'8995077605253,KUACI FUZO,NULL,NULL,11400,1140,15000,31.57895,N,N,0,0,0,0,5,N,0,,11400,11400,0,0,0,0
'8995077602788,'8995077602788,SUKRO KEDELE,NULL,NULL,5600,5600,8000,42.85714,N,N,0,0,0,0,5,N,0,,5600,5600,0,0,0,0
'8992761164447,'8992761164447,ULPY GUAVA,NULL,NULL,0,0,6000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'852,'GAA,AIR PANAS,NULL,NULL,0,0,1000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'4005808862832,'4005808862832,PROTECT REFRES,NULL,NULL,182000,182000,250000,37.36264,N,N,0,0,0,0,0,N,0,,182000,0,0,0,0,0
'kasa,'kasa,KASA HIDROPHILE 10CM,NULL,NULL,0,0,7000,0,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8991002103337,'8991002103337,GOOD DAY VANILLA LATTE 20G,CFF,COFFE,700,700,2000,185.71429,Y,N,0,0,0,0,43,N,0,,0,0,0,0,0,0
'8886030229916,'8886030229916,HAND SOAP APPLE 375ML,PH,NULL,15000,15000,20000,33.33333,Y,N,0,0,1,0,1,N,0,,0,0,0,0,0,0
'8886030229930,'8886030229930,HAND SOAP GRAPE 375ML,NULL,NULL,15000,15000,20000,33.33333,Y,N,0,0,5,0,0,N,0,,0,0,0,0,0,0
'8886030229947,'8886030229947,HAND SOAP LEMON 375ML,NULL,NULL,15000,15000,20000,33.33333,N,N,0,0,2,0,1,N,0,,0,0,0,0,0,0
'8886030229954,'8886030229954,HAND SOAP ORANGE 375ML,NULL,NULL,15000,15000,20000,33.33333,N,N,0,0,2,0,0,N,0,,0,0,0,0,0,0
'8992761136017,'8992761136017,COCA COLA 1.5L,NULL,NULL,12000,12000,16000,33.33333,N,N,0,0,0,0,31,N,0,,0,0,0,0,0,0
'100,'1000,ISOLASI BENING BESAR,NULL,NULL,12500,12500,18000,20,N,N,0,0,0,6,20,N,0,,15000,0,0,0,0,0
'200,'200,MASKER,NULL,NULL,700,700,5000,614.28571,N,N,0,0,2,0,94,N,0,,3500,0,0,0,0,0
'300,'300,ISOLASI HITAM KECIL,NULL,NULL,4000,4000,12000,0,N,N,0,0,0,10,18,N,0,,0,0,0,0,0,0
'9555376800828,'9555376800828,soy been,NULL,NULL,3900,3900,5000,28.20513,N,N,0,0,0,0,14,N,0,,3900,0,0,0,0,0
'8994222112189,'8994222112189,KACANG FGANGSAR S,NULL,NULL,0,0,2000,0,N,N,0,0,0,0,24,N,0,,0,0,0,0,0,0
'107,'107,KOPI BANYUATIS LEGGONG 200G,KOPI,COFFEE,25500,25500,30000,17.64706,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8992775315125,'8992775315125,GERRY WAFFLE,NULL,NULL,1600,1600,2000,25,N,N,0,0,0,0,14,N,0,,1600,1600,0,0,12,0
'8996001600269,'8996001600269,LE MINERAL,BTL,MINUMAN,2200,2200,4000,81.81818,N,N,0,0,0,180,573,N,0,,4166,0,89.36364,0,0,0
'8991111101415,'8991111101415,JOHNSHON BABY,P,PERMEN,0,0,15000,0,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'5038483158210,'5038483158210,DUREK,NULL,NULL,12500,12500,25000,100,N,N,0,0,0,0,3,N,0,,12500,0,0,0,0,0
'5038483363355,'5038483363355,DUREK,NULL,NULL,12500,12500,25000,100,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8852961003246,'8852961003246,SUTRA,CDM,NULL,0,0,35000,0,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'00026115,'00026115,HAND SANITIZER,NULL,NULL,20000,20000,30000,50,N,N,0,0,0,0,0,N,0,,55000,55000,0,0,0,0
'8992931005112,'8992931005112,TESSA 50 SHEET,NULL,NULL,3500,3500,5000,194.11765,N,N,0,0,0,4,16,N,0,,1700,0,0,0,0,0
'8992727000062,'8992727000062,LAURIER ACTIVE DAY ISI 20,SFX,NULL,10000,10000,15000,50,N,N,0,0,0,0,6,N,0,,10000,10000,0,0,0,0
'8992759515435,'8992759515435,TISSUE NICE 60 SHEET,NULL,NULL,5250,5250,10000,90.47619,N,N,0,0,0,0,7,N,0,,5250,0,0,0,0,0
'8992841224429,'8992841224429,SETIA BALI 400,NULL,NULL,26000,26000,35000,34.61538,N,N,0,0,0,0,4,N,0,,26000,26000,0,0,0,0
'8998866500142,'8998866500142,PROTEX,NULL,NULL,9000,9000,12000,33.33333,N,N,0,0,0,0,6,N,0,,9000,0,0,0,0,0
'8998866602280,'8998866602280,HERS PROTEX 12 PADS,NULL,NULL,4500,4500,10000,135.29412,N,N,0,0,0,8,11,N,0,,4250,0,0,0,0,0
'8998866604512,'8998866604512,FRES GRAPE & LYCHEE,NULL,NULL,1500,1500,5000,233.33333,N,N,0,0,0,0,35,N,0,,1500,0,0,0,0,0
'8998866800204,'8998866800204,SABUN FRES ORANGE,NULL,NULL,1500,1500,5000,233.33333,N,N,0,0,0,0,24,N,0,,1500,0,0,0,0,0
'8998866603669,'8998866603669,FRES APPLE & KIWI,KCK,KACANG,1500,1500,5000,233.33333,N,N,0,0,0,0,30,N,0,,0,0,0,0,0,0
'089686598957,'089686598957,CHITATO KEJU,NULL,NULL,9500,9500,12000,26.31579,N,N,0,0,0,11,28,N,0,,6794,0,-28.48421,0,0,0
'8993560027223,'8993560027223,DETTOL SKIN CARE,NULL,NULL,22000,22000,30000,36.36364,N,N,0,0,0,0,5,N,0,,22000,0,0,0,0,0
'hz,'hz,HAND SANITAIZER,NULL,NULL,25000,25000,35000,40,N,N,0,0,0,0,3,N,0,,25000,25000,0,0,0,0
'8995108509567,'8995108509567,EBO,NULL,NULL,8500,8500,11000,29.41176,N,N,0,0,0,2,4,N,0,,0,0,0,0,0,0
'8992775203415,'8992775203415,GARUDA ROSTA,NULL,NULL,1600,1600,3000,87.5,N,N,0,0,0,0,5,N,0,,1600,1600,0,0,0,0
'8992775002582,'8992775002582,DILAN COKLAT 24G,NULL,NULL,1667,1667,2500,49.97001,N,N,0,0,0,72,143,N,0,,1500,0,-10.018,0,0,0
'749921006110,'749921006110,NUTRI SARI SAHCET,NULL,NULL,1250,1250,2000,60,N,N,0,0,0,0,31,N,0,,0,0,0,0,0,0
'9556156053694,'9556156053694,cincau madu,NULL,NULL,0,0,5000,0,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8996001305041,'8996001305041,ROMA SANDWICH CHOCOLATE 216G,NULL,NULL,6300,6300,9000,42.85714,N,N,0,0,0,2,19,N,0,,4900,0,-22.22222,0,0,0
'8996001301562,'8996001301562,MALKIST COKLAT KELAPA,NULL,NULL,650,650,1000,53.84615,N,N,0,0,0,0,86,N,0,,650,0,0,0,0,0
'8997032821074,'8997032821074,GT,NULL,NULL,25700,25700,28000,8.94942,N,N,0,0,0,9,20,N,0,,15000,0,-41.63424,0,0,0
'8999999045265,'8999999045265,RINSO + MOLTO 770G,NULL,NULL,17000,17000,25000,47.05882,N,N,0,0,0,0,8,N,0,,17000,17000,0,0,0,0
'8992717781230,'8992717781230,SANTAN KARA,NULL,NULL,33500,33500,38000,13.43284,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8997050805315,'8997050805315,HAND SANITIZER SANIZ 60ML,NULL,NULL,10000,10000,15000,50,N,N,0,0,0,0,12,N,0,,10000,10000,0,0,0,0
'8992748195303,'8992748195303,LEM TIKUS,NULL,NULL,0,0,30000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8998866605137,'8998866605137,PEMBERSIH KACA,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'a,'a,,KDBB,NULL,0,0,0,0,N,N,0,0,0,0,0,N,0,NULL,0,0,0,0,0,0
'8998989300087,'8998989300087,GG,NULL,NULL,0,0,20000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8998989500128,'8998989500128,GUDANG GARAM,NULL,NULL,11900,11900,15000,26.05042,N,N,0,0,0,0,1,N,0,,11900,0,0,0,0,0
'8992775913000,'8992775913000,MINUMAN COKLAT,NULL,NULL,1600,1600,3000,87.5,N,N,0,0,0,0,13,N,0,,1600,1600,0,0,0,0
'8992775000250,'8992775000250,COKLAT LATE,NULL,NULL,1600,1600,3000,87.5,N,N,0,0,0,0,3,N,0,,1600,0,0,0,0,0
'991102222211,'99110222211,TEH GELAS TINGGI,NULL,NULL,1375,1375,2000,45.45455,N,N,0,0,0,72,96,N,0,,0,0,0,0,0,0
'8993004788239,'8993004788239,ONION RING,NULL,NULL,0,0,2000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8991998111811,'8991998111811,CAFFINO,NULL,NULL,1700,1700,3000,76.47059,N,N,0,0,0,0,37,N,0,,1700,0,0,0,0,0
'8992775001844,'8992775001844,COKLAT WAFER,NULL,NULL,825,825,2000,142.42424,N,N,0,0,0,0,15,N,0,,825,825,0,0,0,0
'8991906101521,'8991906101521,JARUM WAVE,NULL,NULL,14700,14700,16000,8.84354,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'8998899995090,'8998899995090,BYGON,NULL,NULL,32000,34000,45000,45.16129,N,N,0,0,0,21,23,N,0,,31000,0,0,0,0,0
'8886030322907,'8886030322907,PORSTEX 500ML,NULL,NULL,12500,12500,16000,28,N,N,0,0,0,3,4,N,0,,11000,0,-12,0,0,0
'334,'334,kapur barus,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8992779022203,'8992779022203,Mr Muscle pembersih Lantai,SBN,NULL,12000,12000,15000,25,Y,N,0,0,0,0,0,N,0,,12000,0,0,0,0,0
'8992779258800,'8992779258800,MR MUSCLE ORANGE 800ML,SBN,NULL,11000,11000,15000,36.36364,N,N,0,0,0,0,0,N,0,,11000,0,0,0,0,0
'8998866605151,'8998866605151,CLING APPLE FRESH,SBN,NULL,3500,3500,7000,100,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'2020,'2020,MENTE 40G,NULL,NULL,7600,7600,10000,31.57895,N,N,0,0,0,0,0,N,0,,7600,0,0,0,0,0
'8992775000854,'8992775000854,PILUS GARUDA,NULL,NULL,0,0,1000,0,N,N,0,0,0,0,38,N,0,,0,0,0,0,0,0
'8992775311981,'8992775311981,CHOCOLATOS,NULL,NULL,750,285.71,1500,100,N,N,0,0,0,104,91,N,0,,0,0,0,0,0,0
'8992775311479,'8992775311479,CHOCOLATOS,NULL,NULL,1333,1333,1500,87.5,N,N,0,0,0,12,55,N,0,,0,0,0,0,0,0
'8998127921709,'8998127921709,DUNHILL WHITE 16,RK,ROKOK,27500,27500,30000,9.09091,Y,N,0,0,20,43,78,N,0,,0,0,0,0,0,0
'0004,'0004,Masker Lama,NULL,NULL,3000,3000,5000,66.66667,N,N,0,0,30,0,28,N,0,,0,0,0,0,0,0
'55,'55,anting,NULL,NULL,0,0,7000,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'089686017717,'089686017717,SARIMI SOTO,NULL,NULL,0,0,5000,0,N,N,0,0,0,0,20,N,0,,0,0,0,0,0,0
'8991038110354,'8991038110354,KAPAS,NULL,NULL,4300,4300,8000,86.04651,N,N,0,0,0,5,36,N,0,,4300,0,0,0,0,0
'8997002050411,'8997002050411,SUSU SOYA,NULL,NULL,5252,5252,7000,33.28256,N,N,0,0,0,0,22,N,0,,5252,5252,0,0,0,0
'8998899995670,'8998899995670,BAYGON BAKAR FRESHSCENT 0.01MC,BYN,NULL,3300,3300,8000,142.42424,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8995077601361,'8995077601361,TIKTAK,NULL,NULL,900,900,1500,66.66667,N,N,0,0,0,0,105,N,0,,0,0,0,0,0,0
'8996001301111,'8996001301111,ROMA BISKUIT KELAPA 27G,C,CEMILAN,900,900,1500,66.66667,N,N,0,0,0,30,-35,N,0,,0,0,0,0,0,0
'013,'013,PENJEPIT RAMBUT,NULL,NULL,0,0,8000,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8996001600399,'8996001600399,"LE MINERAL 1,5L",NULL,NULL,4900,4900,7000,42.85714,N,N,0,0,0,120,230,N,0,,3750,0,-23.46939,0,0,0
'125,'125,MITU BABY TISUE BASAH,NULL,NULL,0,0,18000,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8993053211047,'8993053211047,TISSUE PASEO 300 SHEETS,NULL,NULL,0,0,70000,0,N,N,0,0,2,0,2,N,0,,0,0,0,0,0,0
'8998866602556,'8998866602556,NUVO FAMESOL,SBN,NULL,3750,3750,5000,33.33333,Y,N,0,0,6,3,6,N,0,,0,0,0,0,0,0
'8886013700104,'8886013700104,MIE GEMEZ ENAAK,NULL,NULL,900,900,1500,66.66667,N,N,0,0,0,270,164,N,0,,0,0,0,0,0,0
'8992775001998,'8992775001998,GERY SANDWICH,NULL,NULL,0,0,1500,0,N,N,0,0,0,0,15,N,0,,0,0,0,0,0,0
'8996001350829,'8996001350829,WAFELLO CHOCO BLAST 48G,NULL,NULL,1700,1700,3000,76.47059,N,N,0,0,0,20,45,N,0,,0,0,0,0,0,0
'8996001351918,'8996001351918,KEJU CHOKO,NULL,NULL,0,0,3000,0,N,N,0,0,0,0,7,N,0,,0,0,0,0,0,0
'5456,'654654,KAPUR BARUS,NULL,NULL,0,0,18000,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'12345345,'745114068958,KACIP HONAGA,NULL,NULL,0,0,1500,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'546,'546,LEM CASTOL KECIL,NULL,NULL,0,0,7000,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'5645,'54645,LEM CASTOL BESAR,NULL,NULL,0,0,10000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8994803000089,'8994803000089,TISSUE BASAH BAYI LOTTE,NULL,NULL,0,0,10000,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'681,'971,BATERAI ABC KECIL,BTI,NULL,0,0,10000,0,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8888021100327,'8888021100327,BATERAI EVEREADY 9V,BTI,NULL,0,0,12000,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'4711734112308,'4711734112308,KACIP SDI STAPLER NO.10,NULL,NULL,0,0,22000,0,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8998899001401,'8998899001401,BAYGON LIQUID ELEKTRIK 33ML,BYN,NULL,0,0,23000,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8992745140559,'8992745140559,"HIT NON STOP FRESH 12,38LV",BYN,NULL,15500,15500,20000,29.03226,N,N,0,0,0,6,4,N,0,,0,0,0,0,0,0
'8992745140566,'8992745140566,HIT NON STOP FLORAL 12.38LV,BYN,NULL,0,6750,17000,0,N,N,0,0,0,2,0,N,0,,0,0,0,0,0,0
'8998899940397,'8998899940397,BAYGON LIQUID ELEKTIK HIJAU,BYN,NULL,0,0,23000,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'87841,'654,NASA 120 GR,PGI,NULL,0,0,23000,0,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8998899001975,'8998899001975,BAYGON MAT ELEKTRIK 43MV,BYN,NULL,0,0,15000,0,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8998899001319,'89988990013190,BAYGON MAT ELEKTRIK MALAM 43MV,BYN,NULL,0,0,15000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8992745140580,'89927451405800,HIT FLORAL 49MV,BYN,NULL,0,0,16000,0,N,N,0,0,0,0,9,N,0,,0,0,0,0,0,0
'8992745120186,'8992745120186,"HIT ALAT + KABEL 0,566MV",BYN,NULL,0,0,13000,0,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8992745999980,'8992745999980,"HIT GREEN TEA 0,566 MV",BYN,NULL,0,0,10000,0,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8992745120636,'8992745120636,"HIT CLASSIC 0,566 MV",BYN,NULL,0,0,10000,0,N,Y,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8990800004563,'8990800004563,MENTOS FRUIT 135G,P,PERMEN,7000,6750,9000,38.46154,N,N,0,0,0,6,3,N,0,,0,0,0,0,0,0
'8999909002821,'8999909002821,MARLBORO FILTER BLACK 16,NULL,NULL,30400,30400,33000,8.55263,N,N,0,0,0,20,24,N,0,,21000,0,-26.31579,0,0,0
'8850291103544,'8850291103544,PARTY SNACK 185G,NULL,NULL,14000,14000,20000,42.85714,N,N,0,0,0,0,6,N,0,,14000,0,0,0,0,0
'0132565104140,'013256510414,TG PARTY SNACK,NULL,NULL,5827,5827,10000,71.6149,N,N,0,0,0,6,10,N,0,,5500,0,-5.61181,0,0,0
'013256111802,'013256111802,KACANG SHANDONG,NULL,NULL,16000,16000,22000,37.5,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'8992138212504,'8992138212504,KOPI BUBUK KUPU-KUPU BOLA,KOPI,COFFEE,18500,18500,24000,29.72973,Y,N,0,0,5,0,7,N,0,,0,0,0,0,0,0
'089686043433,'089686043433,INDOME PEDAS,NULL,NULL,2735,2735,4000,46.25229,N,N,0,0,0,0,35,N,0,,2735,0,0,0,0,0
'8992725910417,'8992725910417,LISTERINE 100ML,NULL,NULL,8000,8000,12000,50,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'8992775203422,'8992775203422,ROSTA 100G,NULL,NULL,7400,7400,10000,35.13514,N,N,0,0,0,0,4,N,0,,7400,0,0,0,0,0
'8992775203453,'8992775203453,ROSTA PEDAS,NULL,NULL,7400,7400,10000,35.13514,N,N,0,0,0,0,3,N,0,,7400,0,0,0,0,0
'8996001304549,'8996001304549,SLAI OLAI STRAWBERRY,NULL,NULL,1700,1700,3000,76.47059,N,N,0,0,0,170,62,N,0,,0,0,0,0,0,0
'8996001304921,'8996001304921,SLAI OLAI NANAS,NULL,NULL,1700,1700,3000,76.47059,N,N,0,0,0,70,36,N,0,,800,0,-39.985,0,0,0
'8996001304983,'8996001304983,SLAI OLAI BLUE BERRY,NULL,NULL,1700,1700,3000,76.47059,N,N,0,0,0,126,59,N,0,,0,0,0,0,0,0
'8996001304013,'8996001304013,SLAI OLAI STRAWBERRY 192G,NULL,NULL,8500,8500,12000,57.89474,N,N,0,0,0,4,4,N,0,,7600,0,0,0,0,0
'8997218380135,'8997218380135,ICHITAN THAI GREEN TEA 310ML,BTL,MINUMAN,7500,7500,9000,20,N,N,0,0,0,60,41,N,0,,0,0,0,0,0,0
'8999168211323,'8999168211323,ESSE CAFE,NULL,NULL,25000,25000,28000,12,N,N,0,0,0,0,1,N,0,,25000,0,0,0,0,0
'8997009780243,'8997009780243,OVE JUICE GUAVA,NULL,NULL,5000,5000,8000,60,N,N,0,0,0,0,2,N,0,,5000,0,0,0,0,0
'8997009780397,'8997009780397,LOVE JUICEPOMEGRANATE,NULL,NULL,5000,5000,8000,60,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'8997009781134,'8997009781134,LOVE JUICE MANGO,NULL,NULL,5000,5000,8000,60,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8997009781219,'8997009781219,BITS,NULL,NULL,6000,6000,9000,50,N,N,0,0,0,0,4,N,0,,6000,0,0,0,0,0
'8997009781493,'8997009781493,HYDRO COCO 330ML,NULL,NULL,7550,7550,10000,32.45033,N,N,0,0,0,38,62,N,0,,0,0,0,0,0,0
'8690637925122,'8690637925122,MAGNUM DOUBLE BERRY,NULL,NULL,0,0,20000,0,N,N,0,0,0,0,10,N,0,,0,0,0,0,0,0
'8999999558802,'8999999558802,CORNETO TRAWBERRY,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,8,N,0,,0,0,0,0,0,0
'8999999280253,'8999999280253,PADDLE POP TRICO,NULL,NULL,1450,1450,5000,243.64261,N,Y,0,0,0,0,-38,N,0,,1450,0,-0.34364,0,0,0
